id,name,typecode,addr,gcj,wgs,cell_id,wgs_lng,wgs_lat,kind
B001543CFE,上海汇苑宾馆,100100,惠南镇城南路398号,"121.756754,31.040039","121.752397,31.042156",10323,121.752397,31.042156,hotel
B0LKNLRAM1,居灿公寓,100200,惠园路与南园路交叉口东240米,"121.748725,31.035175","121.744364,31.037294",10323,121.744364,31.037294,hotel
B0LKGU273H,吉祥公寓D座,100200,惠南镇南园路149号吉祥公寓,"121.747125,31.036775","121.742764,31.038893",10323,121.742764,31.038893,hotel
B0FFGSCDE7,上海国展宝龙丽筠酒店,100102,新府中路1550号,"121.233789,31.227904","121.229360,31.229923",4122,121.22936,31.229923,hotel
B0FFKFWHDO,美豪丽致酒店(上海虹桥枢纽店),100100,"新府中路1399弄203号,205 号,206 号,207 号,208 号","121.231856,31.228068","121.227426,31.230086",4122,121.227426,31.230086,hotel
B0FFGW5FLL,上海虹桥宝龙广场,060100,华新镇新府中路1536弄宝龙天地,"121.234524,31.227954","121.230095,31.229973",4122,121.230095,31.229973,mall
B0FFJY5CMK,上海佐巢酒店,100100,华新镇新府中路1536弄5号4层,"121.235859,31.227814","121.231431,31.229834",4122,121.231431,31.229834,hotel
B0L13R74UX,上海国展宝龙丽筠酒店-大堂,100100,华雅路与新府中路交叉口东120米,"121.233841,31.227808","121.229412,31.229827",4122,121.229412,31.229827,hotel
B0G3LOHYWJ,光明乐缤纷(青浦光明荟店),060101,新府中路1399号青浦光明荟,"121.230195,31.229019","121.225763,31.231035",4122,121.225763,31.231035,mall
B0JU4XIFP5,LOFT公寓,100200,华志路311弄1号1楼,"121.23627,31.231248","121.231842,31.233267",4122,121.231842,31.233267,hotel
B0FFIVZP1W,辰好酒店(上海野生动物园店),100100,成功家园北门东120米,"121.725555,31.048896","121.721199,31.051019",9943,121.721199,31.051019,hotel
B0JR3LD62N,宣桥枫亭的民宿,100200,人民西路与埭安路交叉口西320米,"121.718774,31.048484","121.714424,31.050614",9943,121.714424,31.050614,hotel
B0LB7CF62T,如家酒店·neo(上海顾村公园潘广路地铁站店),100100,顾村镇潘广路1735号(潘广路地铁站2号口步行490米),"121.360172,31.362767","121.355550,31.364585",5661,121.35555,31.364585,hotel
B0J2L7Y7LG,青季酒店MINI(上海宝山天街刘行地铁站店),100100,顾村镇陆翔路1018弄7号330室,"121.360002,31.361256","121.355380,31.363075",5661,121.35538,31.363075,hotel
B0KK7SDNWY,拾光民宿(龙湖天街店),100200,陆翔路与潘广路交叉口东140米,"121.359941,31.361716","121.355319,31.363534",5661,121.355319,31.363534,hotel
B0I64N0B1G,上海Tina吴公寓(陆翔路店),100200,陆翔路1018弄宝山龙湖北城天街售楼处,"121.359647,31.362091","121.355026,31.363910",5661,121.355026,31.36391,hotel
B0M6TR62Z0,馨家园北欧风民宿,100200,潘广路与韶山路交叉口西北180米,"121.363175,31.364825","121.358547,31.366638",5661,121.358547,31.366638,hotel
B0MBFS3QO7,上海提萝投影民宿(顾村公园店),100200,潘广路与丹霞山路交叉口南160米,"121.361225,31.361175","121.356601,31.362992",5661,121.356601,31.362992,hotel
B0LUXOOJG4,莱许智美家小清新民宿(顾村公园二店),100200,丹霞山路与鄱阳湖路交叉口东南100米,"121.361175,31.364425","121.356551,31.366241",5661,121.356551,31.366241,hotel
B0M6TR6CDN,桃子姐姐的民宿(顾村公园店),100200,丹霞山路与潘广路交叉口南140米,"121.361475,31.361325","121.356851,31.363141",5661,121.356851,31.363141,hotel
B0LK3H03VO,上海北城招商花园城X(建设中),060100,顾村镇新顾城社区陆陈路509号(地铁7号线潘广路站3号口),"121.354146,31.364279","121.349535,31.366106",5661,121.349535,31.366106,mall
