scope,item,n,share_pct,extra
citywide,"conf_[0.0,0.1)",0,0.0,
citywide,"conf_[0.1,0.2)",36075,4.28,
citywide,"conf_[0.2,0.3)",374204,44.39,
citywide,"conf_[0.3,0.4)",248290,29.45,
citywide,"conf_[0.4,0.5)",108503,12.87,
citywide,"conf_[0.5,0.6)",45567,5.4,
citywide,"conf_[0.6,0.7)",19701,2.34,
citywide,"conf_[0.7,0.8)",9828,1.17,
citywide,"conf_[0.8,0.9)",863,0.1,
citywide,"conf_[0.9,1.0)",31,0.0,
pred_culture,n_conf_mean_median,37957,0.296,0.286
pred_education,n_conf_mean_median,27211,0.286,0.274
pred_government_office,n_conf_mean_median,11202,0.311,0.274
pred_healthcare,n_conf_mean_median,16209,0.269,0.25
pred_mixed_use,n_conf_mean_median,2944,0.243,0.23
pred_office,n_conf_mean_median,47841,0.295,0.278
pred_other_public,n_conf_mean_median,92948,0.299,0.29
pred_residential,n_conf_mean_median,275180,0.394,0.368
pred_shopping_mall,n_conf_mean_median,232784,0.314,0.302
pred_unclear,n_conf_mean_median,98786,0.299,0.278
