feature,importance,rank,top10
nbr_fp_med_m2,0.08564,1,True
nn_dist_m,0.08016,2,True
n_bld_100m,0.07292,3,True
area_m2,0.07121,4,True
aspect_ratio,0.06353,5,True
perimeter_m,0.06305,6,True
gfa_m2,0.06058,7,True
gfa_share_parcel,0.05606,8,True
parcel_area_m2,0.05464,9,True
floors_feat,0.05386,10,True
n_bld_in_parcel,0.05351,11,False
compactness,0.05051,12,False
convexity,0.03824,13,False
euluc_8,0.03042,14,False
ep_7,0.02349,15,False
euluc_1,0.0211,16,False
ep_9,0.01652,17,False
euluc_0,0.01637,18,False
ep_11,0.01465,19,False
ep_6,0.01419,20,False
ep_18,0.0099,21,False
ep_12,0.00747,22,False
euluc_7,0.00712,23,False
euluc_nan,0.00589,24,False
in_parcel,0.00589,25,False
euluc_10,0.00556,26,False
euluc_6,0.0046,27,False
euluc_2,0.00402,28,False
ep_2,0.00309,29,False
ep_4,0.00183,30,False
ep_10,0.00141,31,False
ep_26,0.00094,32,False
euluc_9,0.00057,33,False
euluc_3,0.00051,34,False
is_supertall_int,0.00037,35,False
ep_1,0.00021,36,False
euluc_4,0.0,37,False
euluc_5,0.0,38,False
ep_8,0.0,39,False
ep_13,0.0,40,False
ep_14,0.0,41,False
ep_nan,0.0,42,False
