feature,importance,rank
compactness,0.07899,1
area_m2,0.07581,2
perimeter_m,0.07481,3
aspect_ratio,0.07472,4
gfa_share_parcel,0.07348,5
nn_dist_m,0.06918,6
nbr_fp_med_m2,0.06904,7
gfa_m2,0.06556,8
floors_feat,0.05903,9
parcel_area_m2,0.05064,10
n_bld_in_parcel,0.05036,11
n_bld_100m,0.05019,12
convexity,0.03086,13
euluc_8,0.02735,14
euluc_2,0.02059,15
ep_11,0.01674,16
ep_6,0.01375,17
euluc_9,0.01293,18
euluc_0,0.01208,19
ep_7,0.01157,20
ep_9,0.01109,21
euluc_1,0.00916,22
ep_18,0.00841,23
euluc_7,0.00629,24
ep_12,0.0043,25
euluc_3,0.00408,26
euluc_nan,0.00389,27
in_parcel,0.0038,28
euluc_10,0.00244,29
is_supertall_int,0.00236,30
euluc_6,0.00226,31
ep_2,0.00216,32
ep_4,0.00172,33
ep_1,0.00031,34
euluc_4,6e-05,35
euluc_5,0.0,36
ep_8,0.0,37
ep_10,0.0,38
ep_13,0.0,39
ep_14,0.0,40
ep_26,0.0,41
ep_nan,0.0,42
