feature,importance
area_m2,0.17137137291140964
perimeter_m,0.1551057135776247
compactness,0.12344742407817767
aspect_ratio,0.09230333636098975
convexity,0.07884385604724818
floors_feat,0.07786634739506222
gfa_m2,0.06697716818751133
is_supertall_int,0.03826274815275067
n_bld_100m,0.02616559708821364
nbr_fp_med_m2,0.024504808778013275
nn_dist_m,0.024219475776423305
parcel_area_m2,0.015684914558440212
n_bld_in_parcel,0.014174676394051898
gfa_share_parcel,0.013791901912579974
in_parcel,0.012069370645492246
euluc_0,0.010641470703898847
euluc_1,0.009202611890372095
euluc_2,0.008935516977425863
euluc_3,0.008606598082534207
euluc_4,0.00698515442294117
