# C1 办公 v0 月度 EUI + 对王 144 点 sanity(2026-07-12)
# v0 = 管线验证值,非终值,禁止引用作结果;sanity 不调参,偏差如实记录
# 引擎: EnergyPlus 26.1.0-6f2e40d102 | 气象: CSWD 583620 | 分母: 全楼面面积 100 m²(shoebox,与王 144 点建筑面积口径同基)
# 换算链: IdealLoads 热量 ÷ COP(冷 3.5 / 热 2.5,v0 假定值,config hvac 节)→ 电耗;照明/设备电表直读
# 已知偏差源: CSWD 典型气象年 vs 王矩阵近年实际运行年(近年夏偏热,供冷侧倾向偏低);敏感性归 TMYx 段
archetype,month,sim_kwh_m2,obs_kwh_m2,diff_kwh_m2,ratio,nmbe_pct
office,1,8.8,7.6,1.2,1.158,
office,2,6.449,6.4,0.049,1.008,
office,3,7.032,6.3,0.732,1.116,
office,4,4.905,5.4,-0.495,0.908,
office,5,7.24,5.8,1.44,1.248,
office,6,8.602,6.7,1.902,1.284,
office,7,10.111,9.9,0.211,1.021,
office,8,10.499,10.2,0.299,1.029,
office,9,8.401,8.5,-0.099,0.988,
office,10,6.152,5.8,0.352,1.061,
office,11,5.236,5.6,-0.364,0.935,
office,12,6.525,7.1,-0.575,0.919,
office,0,89.95,85.3,4.65,1.055,5.5
