archetype,height_bin,v0_annual,v1_annual,delta,pct_change
education,low,63.9,64.2,0.3,0.5
education,multi,65.5,65.6,0.1,0.2
education,high,66.3,66.3,0.0,0.0
education,supertall,66.5,66.5,-0.0,-0.0
exhibition,low,93.3,93.7,0.4,0.4
exhibition,multi,94.9,95.0,0.1,0.1
exhibition,high,95.7,95.6,-0.1,-0.1
exhibition,supertall,95.9,95.8,-0.1,-0.1
government_office,low,97.7,98.6,0.9,0.9
government_office,multi,99.2,99.7,0.6,0.6
government_office,high,99.9,100.3,0.4,0.4
government_office,supertall,100.0,100.4,0.4,0.4
healthcare,low,215.8,217.5,1.6,0.7
healthcare,multi,218.0,220.0,2.0,0.9
healthcare,high,219.0,221.2,2.2,1.0
healthcare,supertall,219.3,221.5,2.2,1.0
hotel,low,146.4,146.7,0.4,0.3
hotel,multi,146.4,146.5,0.1,0.1
hotel,high,146.4,146.4,-0.0,-0.0
hotel,supertall,146.4,146.3,-0.1,-0.1
mixed_use_podium,low,153.4,154.5,1.1,0.7
mixed_use_podium,multi,155.3,156.4,1.2,0.8
mixed_use_podium,high,156.2,157.4,1.2,0.8
mixed_use_podium,supertall,156.5,157.7,1.2,0.8
mixed_use_tower,low,97.7,98.6,0.9,0.9
mixed_use_tower,multi,99.2,99.7,0.6,0.6
mixed_use_tower,high,99.9,100.3,0.4,0.4
mixed_use_tower,supertall,100.0,100.4,0.4,0.4
office,low,92.1,92.6,0.5,0.5
office,multi,93.6,93.9,0.3,0.3
office,high,94.3,94.5,0.2,0.2
office,supertall,94.5,94.7,0.2,0.2
other_public,low,83.0,83.7,0.8,1.0
other_public,multi,84.2,84.7,0.5,0.6
other_public,high,84.8,85.2,0.3,0.4
other_public,supertall,85.0,85.3,0.3,0.4
residential_high_rise,high,66.0,64.9,-1.1,-1.7
residential_high_rise,supertall,65.9,64.7,-1.2,-1.8
residential_mid_rise,low,66.9,66.8,-0.1,-0.1
residential_mid_rise,multi,66.2,65.4,-0.8,-1.2
shopping_mall,low,155.3,156.3,1.0,0.6
shopping_mall,multi,157.1,158.1,1.0,0.6
shopping_mall,high,158.0,159.1,1.0,0.6
shopping_mall,supertall,158.3,159.3,1.0,0.6
sport_culture,low,112.7,112.7,0.0,0.0
sport_culture,multi,114.4,114.2,-0.2,-0.2
sport_culture,high,115.2,114.9,-0.3,-0.3
sport_culture,supertall,115.4,115.1,-0.3,-0.3
transportation,low,165.9,165.8,-0.2,-0.1
transportation,multi,167.7,167.6,-0.1,-0.1
transportation,high,168.6,168.5,-0.1,-0.1
transportation,supertall,168.9,168.7,-0.1,-0.1
