# 52 组模拟矩阵 v0 月度分项 EUI(kWh/m²/月)— 2026-07-12
# ⚠️ v0 = 管线验证值,非终值,禁止引用作结果(参数二手转录待 owner 复核;IdealLoads×COP,无风机/水泵/热水)
# 引擎 EnergyPlus 26.1.0-6f2e40d102 | 气象 CSWD 583620 | 矩阵 52 格(excluded 4 见 simulation_matrix.yaml) | 失败 0 格
archetype,height_bin,n_floors,month,cooling_kwh_m2,heating_kwh_m2,lighting_kwh_m2,equipment_kwh_m2,total_kwh_m2
education,high,15,1,0.012,3.449,1.828,1.075,6.364
education,high,15,2,0.02,1.636,1.661,0.976,4.294
education,high,15,3,0.107,1.228,1.906,1.112,4.353
education,high,15,4,0.176,0.028,1.67,0.992,2.866
education,high,15,5,2.211,0.0,1.906,1.112,5.229
education,high,15,6,4.042,0.0,1.824,1.067,6.934
education,high,15,7,6.0,0.0,1.751,1.038,8.789
education,high,15,8,6.061,0.0,1.906,1.112,9.079
education,high,15,9,4.124,0.0,1.747,1.03,6.901
education,high,15,10,1.405,0.0,1.828,1.075,4.308
education,high,15,11,0.17,0.026,1.824,1.067,3.087
education,high,15,12,0.028,1.283,1.751,1.038,4.1
education,low,2,1,0.007,3.594,1.828,1.075,6.505
education,low,2,2,0.013,1.731,1.661,0.976,4.382
education,low,2,3,0.092,1.338,1.906,1.112,4.448
education,low,2,4,0.14,0.03,1.67,0.992,2.832
education,low,2,5,1.967,0.0,1.906,1.112,4.985
education,low,2,6,3.598,0.0,1.824,1.067,6.489
education,low,2,7,5.506,0.0,1.751,1.038,8.295
education,low,2,8,5.509,0.0,1.906,1.112,8.527
education,low,2,9,3.673,0.0,1.747,1.03,6.45
education,low,2,10,1.151,0.0,1.828,1.075,4.055
education,low,2,11,0.135,0.034,1.824,1.067,3.061
education,low,2,12,0.019,1.407,1.751,1.038,4.215
education,multi,5,1,0.01,3.501,1.828,1.075,6.415
education,multi,5,2,0.018,1.669,1.661,0.976,4.325
education,multi,5,3,0.102,1.265,1.906,1.112,4.385
education,multi,5,4,0.163,0.029,1.67,0.992,2.854
education,multi,5,5,2.126,0.0,1.906,1.112,5.144
education,multi,5,6,3.897,0.0,1.824,1.067,6.788
education,multi,5,7,5.84,0.0,1.751,1.038,8.629
education,multi,5,8,5.883,0.0,1.906,1.112,8.901
education,multi,5,9,3.978,0.0,1.747,1.03,6.754
education,multi,5,10,1.322,0.0,1.828,1.075,4.225
education,multi,5,11,0.158,0.029,1.824,1.067,3.078
education,multi,5,12,0.025,1.326,1.751,1.038,4.14
education,supertall,35,1,0.012,3.434,1.828,1.075,6.35
education,supertall,35,2,0.021,1.626,1.661,0.976,4.285
education,supertall,35,3,0.108,1.217,1.906,1.112,4.344
education,supertall,35,4,0.18,0.027,1.67,0.992,2.869
education,supertall,35,5,2.235,0.0,1.906,1.112,5.254
education,supertall,35,6,4.084,0.0,1.824,1.067,6.975
education,supertall,35,7,6.046,0.0,1.751,1.038,8.835
education,supertall,35,8,6.111,0.0,1.906,1.112,9.13
education,supertall,35,9,4.166,0.0,1.747,1.03,6.942
education,supertall,35,10,1.428,0.0,1.828,1.075,4.332
education,supertall,35,11,0.173,0.025,1.824,1.067,3.09
education,supertall,35,12,0.029,1.271,1.751,1.038,4.089
exhibition,high,15,1,0.012,5.658,2.009,1.984,9.663
exhibition,high,15,2,0.025,3.038,1.814,1.792,6.669
exhibition,high,15,3,0.129,2.438,2.009,1.984,6.56
exhibition,high,15,4,0.376,0.054,1.944,1.92,4.293
exhibition,high,15,5,3.107,0.0,2.009,1.984,7.1
exhibition,high,15,6,5.394,0.0,1.944,1.92,9.258
exhibition,high,15,7,9.077,0.0,2.009,1.984,13.07
exhibition,high,15,8,8.341,0.0,2.009,1.984,12.333
exhibition,high,15,9,6.084,0.0,1.944,1.92,9.948
exhibition,high,15,10,2.031,0.0,2.009,1.984,6.024
exhibition,high,15,11,0.257,0.053,1.944,1.92,4.174
exhibition,high,15,12,0.038,2.504,2.009,1.984,6.535
exhibition,low,2,1,0.008,5.84,2.009,1.984,9.841
exhibition,low,2,2,0.017,3.113,1.814,1.792,6.737
exhibition,low,2,3,0.116,2.526,2.009,1.984,6.634
exhibition,low,2,4,0.343,0.055,1.944,1.92,4.262
exhibition,low,2,5,2.901,0.0,2.009,1.984,6.894
exhibition,low,2,6,4.986,0.0,1.944,1.92,8.85
exhibition,low,2,7,8.609,0.0,2.009,1.984,12.602
exhibition,low,2,8,7.831,0.0,2.009,1.984,11.824
exhibition,low,2,9,5.621,0.0,1.944,1.92,9.485
exhibition,low,2,10,1.791,0.0,2.009,1.984,5.784
