# 52 组模拟矩阵 v0 月度分项 EUI(kWh/m²/月)— 2026-07-12
# ⚠️ v0 = 管线验证值,非终值,禁止引用作结果(参数二手转录待 owner 复核;IdealLoads×COP,无风机/水泵/热水)
# 引擎 EnergyPlus 26.1.0-6f2e40d102 | 气象 CSWD 583620 | 矩阵 52 格(excluded 4 见 simulation_matrix.yaml) | 失败 0 格
archetype,height_bin,n_floors,month,cooling_kwh_m2,heating_kwh_m2,lighting_kwh_m2,equipment_kwh_m2,total_kwh_m2
education,high,15,1,0.0,3.255,1.828,1.075,6.159
education,high,15,2,0.0,1.465,1.661,0.976,4.103
education,high,15,3,0.121,1.207,1.906,1.112,4.347
education,high,15,4,0.121,0.019,1.67,0.992,2.802
education,high,15,5,2.428,0.0,1.906,1.112,5.446
education,high,15,6,4.189,0.0,1.824,1.067,7.081
education,high,15,7,6.117,0.0,1.751,1.038,8.906
education,high,15,8,6.169,0.0,1.906,1.112,9.187
education,high,15,9,4.25,0.0,1.747,1.03,7.027
education,high,15,10,1.421,0.0,1.828,1.075,4.325
education,high,15,11,0.088,0.018,1.824,1.067,2.997
education,high,15,12,0.0,1.123,1.751,1.038,3.913
education,low,2,1,0.0,3.349,1.828,1.075,6.253
education,low,2,2,0.0,1.525,1.661,0.976,4.162
education,low,2,3,0.093,1.27,1.906,1.112,4.381
education,low,2,4,0.08,0.025,1.67,0.992,2.767
education,low,2,5,2.017,0.0,1.906,1.112,5.036
education,low,2,6,3.748,0.0,1.824,1.067,6.639
education,low,2,7,5.647,0.0,1.751,1.038,8.435
education,low,2,8,5.673,0.0,1.906,1.112,8.691
education,low,2,9,3.806,0.0,1.747,1.03,6.582
education,low,2,10,1.106,0.0,1.828,1.075,4.01
education,low,2,11,0.05,0.021,1.824,1.067,2.962
education,low,2,12,0.0,1.211,1.751,1.038,4.0
education,multi,5,1,0.0,3.289,1.828,1.075,6.193
education,multi,5,2,0.0,1.488,1.661,0.976,4.126
education,multi,5,3,0.112,1.23,1.906,1.112,4.36
education,multi,5,4,0.107,0.021,1.67,0.992,2.79
education,multi,5,5,2.292,0.0,1.906,1.112,5.31
education,multi,5,6,4.045,0.0,1.824,1.067,6.937
education,multi,5,7,5.965,0.0,1.751,1.038,8.754
education,multi,5,8,6.01,0.0,1.906,1.112,9.029
education,multi,5,9,4.106,0.0,1.747,1.03,6.883
education,multi,5,10,1.319,0.0,1.828,1.075,4.223
education,multi,5,11,0.075,0.019,1.824,1.067,2.986
education,multi,5,12,0.0,1.155,1.751,1.038,3.944
education,supertall,35,1,0.0,3.245,1.828,1.075,6.149
education,supertall,35,2,0.0,1.459,1.661,0.976,4.096
education,supertall,35,3,0.124,1.201,1.906,1.112,4.343
education,supertall,35,4,0.125,0.019,1.67,0.992,2.806
education,supertall,35,5,2.466,0.0,1.906,1.112,5.485
education,supertall,35,6,4.231,0.0,1.824,1.067,7.122
education,supertall,35,7,6.161,0.0,1.751,1.038,8.95
education,supertall,35,8,6.215,0.0,1.906,1.112,9.233
education,supertall,35,9,4.291,0.0,1.747,1.03,7.068
education,supertall,35,10,1.45,0.0,1.828,1.075,4.354
education,supertall,35,11,0.091,0.017,1.824,1.067,3.0
education,supertall,35,12,0.0,1.114,1.751,1.038,3.904
exhibition,high,15,1,0.0,5.485,2.009,1.984,9.478
exhibition,high,15,2,0.0,2.761,1.814,1.792,6.368
exhibition,high,15,3,0.12,2.394,2.009,1.984,6.507
exhibition,high,15,4,0.342,0.052,1.944,1.92,4.259
exhibition,high,15,5,3.42,0.0,2.009,1.984,7.413
exhibition,high,15,6,5.649,0.0,1.944,1.92,9.513
exhibition,high,15,7,9.259,0.0,2.009,1.984,13.252
exhibition,high,15,8,8.487,0.0,2.009,1.984,12.48
exhibition,high,15,9,6.329,0.0,1.944,1.92,10.193
exhibition,high,15,10,2.042,0.0,2.009,1.984,6.035
exhibition,high,15,11,0.112,0.029,1.944,1.92,4.005
exhibition,high,15,12,0.0,2.196,2.009,1.984,6.189
exhibition,low,2,1,0.0,5.583,2.009,1.984,9.576
exhibition,low,2,2,0.0,2.806,1.814,1.792,6.413
exhibition,low,2,3,0.097,2.431,2.009,1.984,6.521
exhibition,low,2,4,0.285,0.056,1.944,1.92,4.205
exhibition,low,2,5,3.041,0.0,2.009,1.984,7.034
exhibition,low,2,6,5.222,0.0,1.944,1.92,9.086
exhibition,low,2,7,8.787,0.0,2.009,1.984,12.78
exhibition,low,2,8,8.006,0.0,2.009,1.984,11.999
exhibition,low,2,9,5.873,0.0,1.944,1.92,9.737
exhibition,low,2,10,1.723,0.0,2.009,1.984,5.716
exhibition,low,2,11,0.069,0.031,1.944,1.92,3.964
exhibition,low,2,12,0.0,2.274,2.009,1.984,6.267
exhibition,multi,5,1,0.0,5.526,2.009,1.984,9.519
exhibition,multi,5,2,0.0,2.784,1.814,1.792,6.391
exhibition,multi,5,3,0.112,2.413,2.009,1.984,6.518
exhibition,multi,5,4,0.322,0.054,1.944,1.92,4.24
exhibition,multi,5,5,3.287,0.0,2.009,1.984,7.28
exhibition,multi,5,6,5.504,0.0,1.944,1.92,9.368
exhibition,multi,5,7,9.1,0.0,2.009,1.984,13.093
exhibition,multi,5,8,8.326,0.0,2.009,1.984,12.319
exhibition,multi,5,9,6.175,0.0,1.944,1.92,10.039
exhibition,multi,5,10,1.935,0.0,2.009,1.984,5.927
exhibition,multi,5,11,0.098,0.03,1.944,1.92,3.992
exhibition,multi,5,12,0.0,2.23,2.009,1.984,6.223
exhibition,supertall,35,1,0.0,5.474,2.009,1.984,9.467
exhibition,supertall,35,2,0.0,2.755,1.814,1.792,6.361
exhibition,supertall,35,3,0.123,2.388,2.009,1.984,6.503
exhibition,supertall,35,4,0.348,0.052,1.944,1.92,4.264
exhibition,supertall,35,5,3.458,0.0,2.009,1.984,7.451
